開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0908,01UG004,通識,A,,,,,,音樂鑑賞 [ 97-105入學：藝術與美感 ；106-108入學：藝術與美感  ；109起入學：人文藝術 ],Music Appreciation [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,李娓娓,四 3-4 本部 誠101,120,161,◎音樂系（學）不得選修,◎數位課程
0909,01UG004,通識,B,,,,,,音樂鑑賞 [ 97-105入學：藝術與美感 ；106-108入學：藝術與美感  ；109起入學：人文藝術 ],Music Appreciation [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,陳惠齡,二 3-4 本部 綜210展覽廳,50,54,◎音樂系（學）不得選修,
0910,01UG006,通識,,,,,,,臺灣小說選讀 [ 97-105入學：藝術與美感 ；106-108入學：語言與文學 藝術與美感  ；109起入學：人文藝術 ],Selected Readings in Taiwanese Novels [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,林淑慧,三 3-4 本部 教202會議廳,104,116,,
0911,01UG008,通識,,,,,,,旅行文學 [ 97-105入學：藝術與美感 ；106-108入學：語言與文學  ；109起入學：人文藝術 ],Travelling Literature [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,陳室如,二 3-4 本部 樸401,50,57,◎國文系（學）不得選修,
0912,01UG011,通識,A,,,,,,亞裔美國文學與電影的藝術形式 [ 97-105入學：藝術與美感 ；106-108入學：語言與文學 藝術與美感  ；109起入學：人文藝術 ],Forms of Asian American Literature and Film [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,左乙萱,四 6-7 本部 誠203,55,56,,◎數位課程 建議英語閱讀能力中高級者選修。上課前請學會用Microsoft Teams、Moodle，有關Microsoft Teams之資訊見網大同步教學工具便利包與登入Moodle。有內建或外接麥克風。E-mail索取與第二週在教室上課時發放授權碼。若人數超過，出示或e-mail以下刪除個資與照片之影本或電子版優先，依次為1.GPA達4。大一則任何考試成績或成就特優。2.其他優異表現或指考英文達頂標。3.平均成績達3.7 (1)大四，(2)研究所或就業與此領域相關。索取授權碼、作業、信件與簡訊註明(1)姓名、(2)課名、A班、(3)學號、(4)星期幾與節次（例如四6-7）、(5)中文數位授課。
0913,01UG011,通識,B,,,是,,,亞裔美國文學與電影的藝術形式 [ 97-105入學：藝術與美感 ；106-108入學：語言與文學 藝術與美感  ；109起入學：人文藝術 ],Forms of Asian American Literature and Film [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,左乙萱,五 6-7 本部 誠203,55,56,,"Students should be able to read journal articles written in English and write an essay in English. Learn how to use Microsoft Teams and Moodle. Include your name, your student number, course title, and class B in all correspondence."
0914,01UG012,通識,,,,,,,舞蹈鑑賞 [ 97-105入學：藝術與美感 ；106-108入學：藝術與美感  ；109起入學：人文藝術 ],Dance Appreciation [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],3.0,通,半,王宏豪,四 6-8 本部 誠101,50,72,,
0915,01UG016,通識,,,,,,,戲劇鑑賞 [ 97-105入學：藝術與美感 ；106-108入學：藝術與美感  ；109起入學：人文藝術 ],Drama Appreciation [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,馮翊綱,三 3-4 本部 正105,50,50,,
0916,01UG018,通識,,,,,,,民間文學與說唱藝術 [ 97-105入學：藝術與美感 ；106-108入學：語言與文學 藝術與美感  ；109起入學：人文藝術 ],Folk Literatures and Speaking-Singing Arts [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,蔡孟珍,三 3-4 本部 誠202,85,97,◎國文系（學）不得選修,
0917,01UG021,通識,,,,,,,文學與電影 [ 97-105入學：藝術與美感 ；106-108入學：語言與文學 藝術與美感  ；109起入學：人文藝術 ],Literature and Film [ Fall Semester 2017 and Before : Art and Aesthetics ; From Fall Semester 2017 to Spring Semester 2020 : Language and Literature Art and Aesthetics  ; Fall Semester 2020 and After : Humanities and Arts ],3.0,通,半,蘇榕,四 2-4 本部 誠208,70,70,,◎數位課程
